amfi_code,sortino_ratio,sortino_rank
100016,-0.35104746015230914,36.0
100025,-0.9418212366054205,39.0
100033,1.8291339615146933,8.0
101206,1.7995628746984516,10.0
101207,0.2766437962609234,28.0
101208,-1.6810378667512842,40.0
102885,1.4357420130649485,16.0
102886,-0.3472223025472727,35.0
102887,1.0887552508030014,22.0
118632,1.8501325468557266,7.0
118633,1.154475716923624,19.0
118634,0.7460146308533571,26.0
118635,1.137976718780742,20.0
118636,-0.6135251287271029,38.0
119092,0.05257398559304798,31.0
119093,0.22108683979276353,29.0
119094,1.703797480246301,11.0
119095,-0.12818559275851926,33.0
119120,-0.376767008170667,37.0
119551,2.140267129061793,4.0
119552,1.6097764896283082,15.0
119598,1.6753165700125516,12.0
119599,-0.09438726129459607,32.0
120503,1.3379431500669232,17.0
120504,1.8052937940992553,9.0
120505,2.0293529404657473,5.0
120506,1.0958951614736472,21.0
120507,1.0521238822609291,23.0
120841,0.8625738849916584,24.0
120842,0.12469346986475667,30.0
120843,2.3643200321667175,2.0
120844,-0.1877230477424232,34.0
125497,1.3306512447571364,18.0
125498,0.5088128197169233,27.0
148567,2.3856443733688164,1.0
148568,1.6327409778735174,13.0
148569,2.1469139263460555,3.0
149322,0.7621288703723165,25.0
149323,1.875101063919208,6.0
149324,1.6197931764914104,14.0
